"Notes","Residence County","Residence County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alameda County, CA","06001","2018","2018",191,1666753,11.46,9.83,13.08
,"Alameda County, CA","06001","2019","2019",250,1671329,14.96,13.10,16.81
,"Alameda County, CA","06001","2020","2020",320,1662323,19.25,17.14,21.36
,"Alameda County, CA","06001","2021","2021",332,1648556,20.14,17.97,22.31
,"Alameda County, CA","06001","2022","2022",331,1628997,20.32,18.13,22.51
,"Alameda County, CA","06001","2023","2023",414,1622188,25.52,23.06,27.98
,"Alameda County, CA","06001","2024","2024",336,1649060,20.38,18.20,22.55
,"Amador County, CA","06005","2019","2019",13,39752,32.70,17.41,55.92
,"Amador County, CA","06005","2021","2021",11,41259,26.66,13.31,47.70
,"Butte County, CA","06007","2018","2018",59,231256,25.51,19.42,32.91
,"Butte County, CA","06007","2019","2019",55,219186,25.09,18.90,32.66
,"Butte County, CA","06007","2020","2020",70,212744,32.90,25.65,41.57
,"Butte County, CA","06007","2021","2021",120,208309,57.61,47.30,67.91
,"Butte County, CA","06007","2022","2022",111,207303,53.54,43.58,63.51
,"Butte County, CA","06007","2023","2023",136,207172,65.65,54.61,76.68
,"Butte County, CA","06007","2024","2024",114,208334,54.72,44.67,64.76
,"Calaveras County, CA","06009","2019","2019",12,45905,26.14,13.51,45.66
,"Calaveras County, CA","06009","2021","2021",12,46221,25.96,13.41,45.35
,"Calaveras County, CA","06009","2023","2023",17,46565,36.51,21.27,58.45
,"Calaveras County, CA","06009","2024","2024",10,46505,21.50,10.31,39.54
,"Contra Costa County, CA","06013","2018","2018",162,1150215,14.08,11.92,16.25
,"Contra Costa County, CA","06013","2019","2019",164,1153526,14.22,12.04,16.39
,"Contra Costa County, CA","06013","2020","2020",234,1152333,20.31,17.70,22.91
,"Contra Costa County, CA","06013","2021","2021",265,1161413,22.82,20.07,25.56
,"Contra Costa County, CA","06013","2022","2022",253,1156966,21.87,19.17,24.56
,"Contra Costa County, CA","06013","2023","2023",272,1155025,23.55,20.75,26.35
,"Contra Costa County, CA","06013","2024","2024",223,1172607,19.02,16.52,21.51
,"Del Norte County, CA","06015","2021","2021",10,28100,35.59,17.07,65.45
,"Del Norte County, CA","06015","2022","2022",29,27082,107.08,71.72,153.79
,"Del Norte County, CA","06015","2023","2023",24,26589,90.26,57.83,134.30
,"Del Norte County, CA","06015","2024","2024",18,27009,66.64,39.50,105.33
,"El Dorado County, CA","06017","2018","2018",34,190678,17.83,12.35,24.92
,"El Dorado County, CA","06017","2019","2019",32,192843,16.59,11.35,23.43
,"El Dorado County, CA","06017","2020","2020",39,192925,20.22,14.37,27.63
,"El Dorado County, CA","06017","2021","2021",49,193221,25.36,18.76,33.53
,"El Dorado County, CA","06017","2022","2022",48,192646,24.92,18.37,33.04
,"El Dorado County, CA","06017","2023","2023",40,192215,20.81,14.87,28.34
,"El Dorado County, CA","06017","2024","2024",36,192823,18.67,13.08,25.85
,"Fresno County, CA","06019","2018","2018",110,994400,11.06,8.99,13.13
,"Fresno County, CA","06019","2019","2019",133,999101,13.31,11.05,15.57
,"Fresno County, CA","06019","2020","2020",171,1000918,17.08,14.52,19.64
,"Fresno County, CA","06019","2021","2021",200,1013581,19.73,17.00,22.47
,"Fresno County, CA","06019","2022","2022",223,1015190,21.97,19.08,24.85
,"Fresno County, CA","06019","2023","2023",237,1017162,23.30,20.33,26.27
,"Fresno County, CA","06019","2024","2024",261,1024125,25.49,22.39,28.58
,"Glenn County, CA","06021","2020","2020",12,28283,42.43,21.92,74.11
,"Glenn County, CA","06021","2021","2021",12,28805,41.66,21.53,72.77
,"Glenn County, CA","06021","2022","2022",11,28339,38.82,19.38,69.45
,"Glenn County, CA","06021","2023","2023",15,28129,53.33,29.85,87.95
,"Glenn County, CA","06021","2024","2024",12,28304,42.40,21.91,74.06
,"Humboldt County, CA","06023","2018","2018",33,136373,24.20,16.66,33.98
,"Humboldt County, CA","06023","2019","2019",36,135558,26.56,18.60,36.77
,"Humboldt County, CA","06023","2020","2020",41,134977,30.38,21.80,41.21
,"Humboldt County, CA","06023","2021","2021",59,136310,43.28,32.95,55.83
,"Humboldt County, CA","06023","2022","2022",91,135010,67.40,54.27,82.76
,"Humboldt County, CA","06023","2023","2023",76,133985,56.72,44.69,71.00
,"Humboldt County, CA","06023","2024","2024",57,132380,43.06,32.61,55.79
,"Imperial County, CA","06025","2018","2018",43,181827,23.65,17.11,31.85
,"Imperial County, CA","06025","2019","2019",30,181215,16.55,11.17,23.63
,"Imperial County, CA","06025","2020","2020",64,180267,35.50,27.34,45.34
,"Imperial County, CA","06025","2021","2021",19,179851,10.56,6.36,16.50
,"Imperial County, CA","06025","2022","2022",31,178713,17.35,11.79,24.62
,"Imperial County, CA","06025","2023","2023",22,179057,12.29,7.70,18.60
,"Imperial County, CA","06025","2024","2024",24,181724,13.21,8.46,19.65
,"Inyo County, CA","06027","2021","2021",12,18970,63.26,32.69,110.50
,"Inyo County, CA","06027","2023","2023",10,18527,53.98,25.88,99.26
,"Kern County, CA","06029","2018","2018",228,896764,25.42,22.12,28.72
,"Kern County, CA","06029","2019","2019",262,900202,29.10,25.58,32.63
,"Kern County, CA","06029","2020","2020",361,901362,40.05,35.92,44.18
,"Kern County, CA","06029","2021","2021",492,917673,53.61,48.88,58.35
,"Kern County, CA","06029","2022","2022",491,916108,53.60,48.86,58.34
,"Kern County, CA","06029","2023","2023",500,913820,54.72,49.92,59.51
,"Kern County, CA","06029","2024","2024",371,922529,40.22,36.12,44.31
,"Kings County, CA","06031","2018","2018",20,151366,13.21,8.07,20.41
,"Kings County, CA","06031","2019","2019",25,152940,16.35,10.58,24.13
,"Kings County, CA","06031","2020","2020",22,152692,14.41,9.03,21.81
,"Kings County, CA","06031","2021","2021",29,153443,18.90,12.66,27.14
,"Kings County, CA","06031","2022","2022",31,152981,20.26,13.77,28.76
,"Kings County, CA","06031","2023","2023",27,152682,17.68,11.65,25.73
,"Kings County, CA","06031","2024","2024",27,154913,17.43,11.49,25.36
,"Lake County, CA","06033","2018","2018",44,64382,68.34,49.66,91.75
,"Lake County, CA","06033","2019","2019",47,64386,73.00,53.64,97.07
,"Lake County, CA","06033","2020","2020",46,64479,71.34,52.23,95.16
,"Lake County, CA","06033","2021","2021",67,68766,97.43,75.51,123.73
,"Lake County, CA","06033","2022","2022",61,68191,89.45,68.43,114.91
,"Lake County, CA","06033","2023","2023",48,67878,70.72,52.14,93.76
,"Lake County, CA","06033","2024","2024",62,67764,91.49,70.15,117.29
,"Lassen County, CA","06035","2019","2019",12,30573,39.25,20.28,68.56
,"Lassen County, CA","06035","2022","2022",19,29904,63.54,38.25,99.22
,"Lassen County, CA","06035","2023","2023",19,28861,65.83,39.64,102.81
,"Lassen County, CA","06035","2024","2024",16,28340,56.46,32.27,91.68
,"Los Angeles County, CA","06037","2018","2018",988,10105518,9.78,9.17,10.39
,"Los Angeles County, CA","06037","2019","2019",1267,10039107,12.62,11.93,13.32
,"Los Angeles County, CA","06037","2020","2020",2021,9943046,20.33,19.44,21.21
,"Los Angeles County, CA","06037","2021","2021",2322,9829544,23.62,22.66,24.58
,"Los Angeles County, CA","06037","2022","2022",2440,9721138,25.10,24.10,26.10
,"Los Angeles County, CA","06037","2023","2023",2335,9663345,24.16,23.18,25.14
,"Los Angeles County, CA","06037","2024","2024",1829,9757179,18.75,17.89,19.60
,"Madera County, CA","06039","2018","2018",12,157672,7.61,3.93,13.29
